# 谁是卧底词库
# 格式：平民词|卧底词
# 每行一对词语，用 | 分隔

苹果|梨
西瓜|哈密瓜
香蕉|芭蕉
橙子|柚子
草莓|樱桃
葡萄|提子
面包|馒头
米饭|面条
包子|饺子
馄饨|饺子
油条|麻花
牛奶|豆浆
可乐|雪碧
咖啡|奶茶
绿茶|红茶
果汁|汽水
红烧牛肉面|香辣牛肉面
菠萝蜜|榴莲
白菜|生菜
口香糖|木糖醇
辣椒|芥末
唇膏|口红
大白兔|金丝猴
鱼香肉丝|四喜丸子
果粒橙|鲜橙多
饼干|薯片
纸巾|湿巾
茉莉花|玫瑰花
西红柿|圣女果
黄瓜|西葫芦
茄子|紫甘蓝
菠菜|油菜
芹菜|香菜
韭菜|蒜苗
蘑菇|香菇
金针菇|蟹味菇
土豆|红薯
山药|芋头
萝卜|胡萝卜
玉米|小米
洋葱|大葱
大蒜|生姜
辣椒|花椒
南瓜|冬瓜
苦瓜|丝瓜
花生|瓜子
芝麻|亚麻籽
木耳|银耳
茭白|高笋
秋葵|辣椒
油麦菜|生菜
荸荠|马蹄
海蜇|水母
三文鱼|金枪鱼
草鱼|青鱼
蛙|牛蛙
甲鱼|乌龟
乳鸽|鹌鹑
火鸡|鸵鸟肉
袋鼠肉|鳄鱼肉
鱼子酱|蟹籽
鱼翅|粉丝
燕窝|银耳羹
海带丝|裙带菜
紫菜|海苔
虾皮|小鱼干
干贝|瑶柱

那英|韩红
谢娜张杰|邓超孙俪
包青天|狄仁杰
甄子丹|李连杰
小沈阳|宋小宝
董永|许仙
赵敏|黄蓉
魔术师|魔法师
金庸|古龙
李白|杜甫
李清照|卓文君
爱因斯坦|牛顿
梵高|毕加索
林黛玉|薛宝钗
奥特曼|假面骑士
蜘蛛侠|蝙蝠侠
福尔摩斯|工藤新一
成吉思汗|努尔哈赤
医生|护士
教师|学生
警察|保安
厨师|服务员
司机|导游
上司|下属
同事|同行
邻居|室友
房客|房东
雇主|雇员
主人|仆人
老板|员工
领导|干部
客户|供应商
对手|伙伴
敌人|朋友
陌生人|熟人
网友|笔友
歌手|听众
作家|读者
